-0,85	-0,01
0,60	0,19
0,35	0,11
0,30	0,11
-0,28	0,00
-0,42	-0,01
-0,50	0,01
-1,27	-0,01
-0,58	0,00
-1,57	0,03
-0,12	0,04
-0,58	-0,01
0,03	0,05
-0,27	0,01
-1,40	-0,01
-0,27	0,00
-0,16	0,02
-0,95	-0,02
0,95	0,36
-0,46	0,00
-0,70	0,00
0,34	0,10
-0,13	0,05
-0,56	0,00
-0,45	0,00
0,24	0,08
0,07	0,04
3,63	6,94
-0,52	0,00
-1,51	0,02
0,10	0,07
-0,26	0,02
2,38	2,29
1,10	0,47
0,90	0,31
0,32	0,11
0,70	0,23
-0,44	0,01
-0,67	0,01
0,33	0,10
-0,43	0,01
1,57	0,90
0,59	0,20
-1,35	0,02
-2,65	0,01
-0,10	0,06
0,14	0,08
0,42	0,16
-1,15	-0,01
0,51	0,17
